Wealth Category,Psychiatrists,Nurses,Social.workers,Psychologists
High-income,272.47,1010.76,262.67,280.82
Low-income,0.76,7.65,0.49,1.74
Lower-middle-income,20.23,96.75,5.65,4.73
Upper-middle-income,70,326.35,25.83,55.22
<<<<<<< HEAD

Wealth Category,Psychiatrists,Nurses,Social.workers,Psychologists
High-income,9.73107143 36.09857     9.38107143    10.0292857
Low-income    0.05066667  0.51000     0.03266667     0.1160000
Lower-middle-income    0.84291667  4.03125     0.23541667     0.1970833
Upper-middle-income    2.33333333 10.87833     0.86100000     1.8406667
=======
>>>>>>> 0751cfca6119a3d685e879eae94fd60c896b75a5
